ref_area,measure,year,value
IRL,PR_INC_MRKT,2017,33.9698
IRL,PR_INC_MRKT,2016,35.3512
IRL,PR_INC_MRKT,2015,37.5701
IRL,PR_INC_MRKT,2014,39.1211
IRL,PR_INC_MRKT,2013,41.9966
IRL,PR_INC_MRKT,2012,42.722
IRL,PR_INC_MRKT,2011,41.6473
IRL,PR_INC_MRKT,2010,43.8373
IRL,PR_INC_DISP,2019,7.0923
IRL,PR_INC_DISP,2018,7.1145
IRL,PR_INC_DISP,2017,8.9421
IRL,PR_INC_DISP,2016,9.1357
CRI,PR_INC_DISP,2018,20.8882
CRI,PR_INC_DISP,2017,20.3792
CRI,PR_INC_DISP,2016,20.8926
IRL,PR_INC_DISP,2012,9.3667
IRL,PR_INC_DISP,2011,9.9956
IRL,PR_INC_DISP,2010,9.0932
IRL,PR_INC_MRKT,2023,25.6999
IRL,PR_INC_DISP,2023,6.9916
IRL,PR_INC_DISP,2022,6.9968
IRL,PR_INC_DISP,2021,8.7752
IRL,PR_INC_DISP,2020,7.6833
IRL,PR_INC_MRKT,2022,28.135
IRL,PR_INC_MRKT,2021,30.2789
ISL,PR_INC_MRKT,2011,21.5007
ISL,PR_INC_MRKT,2010,21.4509
ISL,PR_INC_DISP,2015,5.4299
ISL,PR_INC_DISP,2014,6.2429
ISL,PR_INC_DISP,2013,4.5458
ISL,PR_INC_DISP,2012,6.0757
ISL,PR_INC_DISP,2011,5.814
NOR,PR_INC_DISP,2011,7.71
NOR,PR_INC_DISP,2010,7.52
NOR,PR_INC_MRKT,2014,24.6
NOR,PR_INC_MRKT,2013,24.4
NOR,PR_INC_DISP,2023,7.9
NOR,PR_INC_DISP,2022,7.98
NOR,PR_INC_DISP,2021,7.86
NOR,PR_INC_DISP,2020,8.38
NOR,PR_INC_DISP,2012,8.1
NOR,PR_INC_MRKT,2023,26.21
NZL,PR_INC_DISP,2020,12.2
NZL,PR_INC_DISP,2019,12.9
NZL,PR_INC_DISP,2018,13.7
NZL,PR_INC_DISP,2017,15.3
NZL,PR_INC_DISP,2016,14.1
NZL,PR_INC_DISP,2015,13.0
NZL,PR_INC_DISP,2014,14.6
NZL,PR_INC_DISP,2013,14.1
NZL,PR_INC_DISP,2012,14.9
NZL,PR_INC_DISP,2011,13.7
NZL,PR_INC_DISP,2010,13.0
NZL,PR_INC_MRKT,2019,25.3
NZL,PR_INC_MRKT,2018,24.9
NZL,PR_INC_DISP,2022,14.3
NZL,PR_INC_DISP,2021,13.0
NZL,PR_INC_MRKT,2022,24.8
NZL,PR_INC_MRKT,2021,24.4
NLD,PR_INC_MRKT,2014,26.6
NLD,PR_INC_MRKT,2013,26.2
NLD,PR_INC_MRKT,2012,25.6
NLD,PR_INC_MRKT,2011,25.1
NLD,PR_INC_DISP,2021,10.0
NLD,PR_INC_DISP,2020,8.2
NLD,PR_INC_MRKT,2023,25.5
NLD,PR_INC_MRKT,2022,25.8
NLD,PR_INC_MRKT,2021,27.6
NLD,PR_INC_DISP,2016,8.1
NLD,PR_INC_DISP,2015,7.7
NLD,PR_INC_DISP,2014,7.7
NLD,PR_INC_DISP,2013,7.8
NLD,PR_INC_DISP,2012,7.4
NLD,PR_INC_DISP,2011,7.2
NLD,PR_INC_DISP,2023,6.8
NLD,PR_INC_MRKT,2020,26.4
NLD,PR_INC_MRKT,2019,26.0
NLD,PR_INC_MRKT,2018,26.2
NLD,PR_INC_DISP,2022,7.1
NLD,PR_INC_DISP,2019,8.0
NLD,PR_INC_DISP,2018,7.8
NLD,PR_INC_DISP,2017,7.9
NLD,PR_INC_MRKT,2017,26.5
NLD,PR_INC_MRKT,2016,26.7
MEX,PR_INC_MRKT,2020,19.4042
MEX,PR_INC_MRKT,2018,18.1984
MEX,PR_INC_MRKT,2016,19.7274
MEX,PR_INC_MRKT,2014,20.3339
MEX,PR_INC_MRKT,2012,21.7364
MEX,PR_INC_DISP,2022,14.9979
MEX,PR_INC_DISP,2020,16.6449
MEX,PR_INC_DISP,2018,15.9336
MEX,PR_INC_DISP,2016,16.5985
MEX,PR_INC_DISP,2014,16.6503
MEX,PR_INC_DISP,2012,18.9022
LUX,PR_INC_DISP,2019,10.4996
LUX,PR_INC_DISP,2018,11.3681
LUX,PR_INC_DISP,2017,11.1166
LUX,PR_INC_DISP,2016,10.2232
LUX,PR_INC_DISP,2015,9.4612
LUX,PR_INC_MRKT,2023,25.7614
FRA,PR_INC_MRKT,2020,36.8
FIN,PR_INC_MRKT,2010,32.7
LUX,PR_INC_MRKT,2020,26.3476
LUX,PR_INC_MRKT,2019,30.6156
LUX,PR_INC_MRKT,2018,30.1347
LUX,PR_INC_DISP,2023,9.5891
LUX,PR_INC_DISP,2022,8.8835
LUX,PR_INC_DISP,2021,9.5862
LUX,PR_INC_DISP,2020,9.8471
LUX,PR_INC_MRKT,2017,32.7532
LUX,PR_INC_MRKT,2016,31.2638
LTU,PR_INC_MRKT,2018,32.8357
LTU,PR_INC_MRKT,2017,31.9456
LTU,PR_INC_MRKT,2016,32.3052
LTU,PR_INC_MRKT,2015,33.2025
LTU,PR_INC_MRKT,2014,34.1888
LTU,PR_INC_MRKT,2013,32.6297
LTU,PR_INC_MRKT,2012,36.3437
FIN,PR_INC_MRKT,2014,33.2193
FIN,PR_INC_MRKT,2013,32.8202
FIN,PR_INC_MRKT,2024,35.3653
LTU,PR_INC_DISP,2018,15.529
LTU,PR_INC_DISP,2017,17.2664
LTU,PR_INC_DISP,2016,16.8265
LTU,PR_INC_DISP,2015,16.49
LTU,PR_INC_DISP,2014,15.6612
LTU,PR_INC_DISP,2013,12.4401
LTU,PR_INC_DISP,2012,14.3399
LTU,PR_INC_DISP,2011,12.5917
LTU,PR_INC_DISP,2010,12.6755
LTU,PR_INC_DISP,2023,15.6176
LTU,PR_INC_MRKT,2022,28.9435
LTU,PR_INC_DISP,2022,14.0912
LTU,PR_INC_DISP,2021,13.6187
LTU,PR_INC_DISP,2020,14.1051
LTU,PR_INC_DISP,2019,15.4063
LTU,PR_INC_MRKT,2021,28.4715
LTU,PR_INC_MRKT,2020,28.3493
LVA,PR_INC_MRKT,2019,28.4905
LVA,PR_INC_MRKT,2018,29.0086
LVA,PR_INC_MRKT,2017,29.4604
LVA,PR_INC_MRKT,2016,29.2257
LVA,PR_INC_MRKT,2015,29.3922
SVN,PR_INC_DISP,2016,8.6432
SVN,PR_INC_DISP,2015,9.1879
SVN,PR_INC_DISP,2014,9.3394
SVN,PR_INC_DISP,2013,9.4998
SVN,PR_INC_DISP,2012,9.4585
SVN,PR_INC_DISP,2011,8.646
SVN,PR_INC_DISP,2010,9.1056
SVN,PR_INC_MRKT,2023,26.2465
SVN,PR_INC_DISP,2023,8.7622
